Region,Fuel,Unit,2024,2020
Asia,Coal,GWH,7866392.253585202,6405543.241833437
Asia,Gas,GWH,1263005.568959561,1152734.6832375163
Asia,Nuclear,GWH,694038.0515972415,574677.9510371754
Asia,Oil,GWH,87894.22838631748,74783.15479468564
Asia,Other renewables,GWH,2048723.9975546682,1866966.5859247255
Asia,Other sources,GWH,16248.491978374024,15705.870343355171
Asia,Solar and wind,GWH,2061731.5402607897,864948.5881069695
Asia,Total,GWH,14038034.132322153,10955360.075277865
E. Europe+Russia,Coal,GWH,286127.4773832186,255867.56973123414
E. Europe+Russia,Gas,GWH,671010.5066802667,592586.3737328463
E. Europe+Russia,Nuclear,GWH,261202.73892978719,261066.69150869088
E. Europe+Russia,Oil,GWH,11245.805281853436,9167.571775473367
E. Europe+Russia,Other renewables,GWH,257495.37599948584,248260.29689695433
E. Europe+Russia,Other sources,GWH,3615.298950861486,3392.5782285951223
E. Europe+Russia,Solar and wind,GWH,20358.294238731796,13997.998681772571
E. Europe+Russia,Total,GWH,1511055.497464205,1384339.0805555666
EU27,Coal,GWH,274336.750831947,357800.83
EU27,Gas,GWH,464920.9979965043,593204.199
EU27,Nuclear,GWH,649531.3743283247,683512.145
EU27,Oil,GWH,40335.09171135265,41072.829
EU27,Other renewables,GWH,527215.6195334856,517033.543
EU27,Other sources,GWH,26240.558,25800.485
EU27,Solar and wind,GWH,796670.8596396351,543583.398
EU27,Total,GWH,2780747.0851322846,2762007.429
Latin America,Coal,GWH,68666.56531629436,66889.29944627373
Latin America,Gas,GWH,394207.83026745636,360442.7796524755
Latin America,Nuclear,GWH,33788.05233727145,31552.155599751844
Latin America,Oil,GWH,90927.62540941396,104413.96272041705
Latin America,Other renewables,GWH,734207.6526558546,721238.2344327584
Latin America,Other sources,GWH,5768.27015969288,8148.456311609913
Latin America,Solar and wind,GWH,261770.46252064774,128432.84017005829
Latin America,Total,GWH,1589336.4586666313,1421117.728333345
Mideast+Africa,Coal,GWH,214909.71828363521,223667.62652135655
Mideast+Africa,Gas,GWH,1254981.969573568,1095271.3733883419
Mideast+Africa,Nuclear,GWH,45943.916700138536,14582.446963226641
Mideast+Africa,Oil,GWH,374573.07847984467,316916.5983901432
Mideast+Africa,Other renewables,GWH,159596.72916964887,155460.97988414802
Mideast+Africa,Other sources,GWH,1487.7898991144546,1483.3118006613718
Mideast+Africa,Solar and wind,GWH,86125.74327637776,44002.97249658162
Mideast+Africa,Total,GWH,2137618.9453823273,1851385.3094444592
OECD+EU,Coal,GWH,1464553.2426667032,1733233.7257451736
OECD+EU,Gas,GWH,2895579.6010227446,2868096.9626802998
OECD+EU,Nuclear,GWH,1601203.229439192,1621261.9900638454
OECD+EU,Oil,GWH,87719.15119237197,95418.8567702735
OECD+EU,Other renewables,GWH,1646211.45472437,1701481.9518367874
OECD+EU,Other sources,GWH,87847.51962200325,79618.48066976907
OECD+EU,Solar and wind,GWH,1838044.5435850916,1241046.9947339257
OECD+EU,Total,GWH,9621158.742252477,9340158.962500075
Rest of the World,Gas,GWH,187.185,172.062
Rest of the World,Oil,GWH,770.689,675.355
Rest of the World,Other sources,GWH,0.0,0.0
Rest of the World,Solar and wind,GWH,189.613,204.292
Rest of the World,Total,GWH,1147.487,1051.709
USA,Coal,GWH,712678.6521957013,852005.0
USA,Gas,GWH,1944058.39563669,1692404.277
USA,Nuclear,GWH,815365.464203647,823149.528
USA,Oil,GWH,22926.832820404466,28914.808
USA,Other renewables,GWH,314754.60171863716,366239.654
USA,Other sources,GWH,19881.737,15109.964
USA,Solar and wind,GWH,736638.577288965,461146.826
USA,Total,GWH,4573205.70113489,4238970.057
World,Coal,GWH,9799723.0175794,8602849.658660349
World,Gas,GWH,6596262.140897646,6156353.893267005
World,Nuclear,GWH,2613580.9915297497,2482531.003746218
World,Oil,GWH,691832.8828000947,635065.9483055872
World,Other renewables,GWH,4871949.166399595,4703697.578760497
World,Other sources,GWH,114506.8738073179,107514.82132166991
World,Solar and wind,GWH,4269072.828231167,2270614.1831610957
World,Total,GWH,28956927.901244972,24958627.087222423
