Dem_scenarios,Region,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
All_0.0,Asia,14021785.64034378,14142570.234278265,14232481.713272383,14316857.086363949,14396192.39298995,14470926.130495388,14541447.362799114,14522635.366583282,14504743.822983833,14487706.789968034,14471464.477452883,14455962.546236727,14460019.822366778,14463833.871265931,14467425.928055042,14470814.825829327,14474017.325951574,14439294.577385608,14406498.10531784,14375471.943000128,14346076.518940726,14318186.557729837,14253226.734998798,14192133.160489526,14134570.644708548,14080241.656153485,14028881.177276948
All_0.0,Latin America,1583568.1885069385,1597058.975487786,1608361.279036582,1618967.667557743,1628940.4955843238,1638334.8843328143,1647199.7410012719,1660524.611600204,1673197.5092843496,1685265.1419651452,1696769.8600189192,1707750.1528660413,1723056.9810068149,1737446.189221512,1750997.8909495494,1763783.137542309,1775865.1643555553,1798034.4342295215,1818973.8434126112,1838782.9712605448,1857550.92932684,1875357.7016128548,1887790.3743199147,1899483.0850516397,1910499.9857883144,1920898.0211402166,1930727.9128656557
All_0.0,Mideast+Africa,2136131.1554832133,2169689.554291868,2183016.830207061,2195523.5077772555,2207283.113258668,2218360.6436368953,2228813.768547149,2265774.091922036,2300925.982743432,2334398.998705577,2366310.6106381137,2396767.579909778,2449012.8488167254,2498126.0972063355,2544380.768286235,2588019.3745433353,2629257.750906728,2717220.7466532136,2800303.9140907205,2878902.363139129,2953369.6696828776,3024023.1934009823,3105468.7585754204,3182066.8848516624,3254237.8273441503,3322354.6261929283,3386749.556072108
All_0.0,OECD+EU,9533311.222630475,9372513.500957273,9276197.779082472,9185812.490588866,9100826.263987679,9020769.36850819,8945225.02786534,8920600.652931638,8897181.124632744,8874880.12669901,8853619.395590272,8833327.802817054,8766717.437890567,8704100.25806929,8645127.635578353,8589490.377918798,8536913.305276413,8462210.513944462,8391651.92885296,8324902.001926868,8261660.457973286,8201657.778501205,8176334.998360288,8152519.367555283,8130080.2217849055,8108901.576668301,8088880.122485649
All_0.0,E. Europe+Russia,1507440.1985133437,1500404.1404625585,1482178.8038792533,1465075.6531899367,1448994.1396571305,1433845.3785044635,1419550.505264874,1412701.6824405896,1406187.9658333934,1399985.3481399845,1394072.0617775668,1388428.323648153,1383429.3153968663,1378729.9897146795,1374304.1826085702,1370128.6896439837,1366182.858987481,1365476.1332649451,1364808.6138036132,1364177.126151078,1363578.8295540167,1363011.1742328717,1359415.5392233303,1356033.9075296435,1352847.7258518345,1349840.5253228184,1346997.6367773877
All_0.25,Asia,14021785.64034378,14177926.65986396,14303733.074849453,14424502.179282933,14540695.074458959,14652719.403919708,14760936.886662561,14778695.543341536,14797389.761004202,14816959.01337046,14837348.441837484,14858508.209662173,14899835.162252339,14941024.63214622,14982097.036056595,15023070.508326361,15063961.21485033,15065392.765992733,15068752.15086767,15073890.492517577,15080674.587206338,15088984.897761377,15058079.379454726,15031019.806736918,15007479.949637864,14987170.252740225,14969832.825549837
All_0.25,Latin America,1583568.1885069385,1601051.6229265057,1616413.1376897586,1631140.306004562,1645291.0876811622,1658916.722627218,1672062.6778080498,1689802.6465315328,1706955.7376662926,1723565.0125422368,1739669.518446668,1755304.7460694753,1775465.407900635,1794768.0083465409,1813288.7247941392,1831095.12184478,1848247.3356371464,1875998.499322248,1902590.4709749098,1928118.482522873,1952667.7595338242,1976314.8023979522,1994390.3115270433,2011760.1456459372,2028486.817973151,2044625.8227676542,2060226.59412329
All_0.25,Mideast+Africa,2136131.1554832133,2175113.778177597,2193945.5582132847,2212031.1344564096,2229438.8555494184,2246229.1462749243,2262455.624177711,2305723.7635778305,2347349.184059708,2387451.2913682386,2426138.357065199,2463508.7873835447,2523501.918106959,2580544.2654258288,2634895.782892415,2686787.0267596343,2736423.19831199,2835041.3907579277,2929031.4217971945,3018771.0798420296,3104598.449994965,3186816.9975110423,3280828.681565862,3370156.5389566286,3455209.936886445,3536352.2614664524,3613907.198709729
All_0.25,OECD+EU,9533311.222630475,9395944.784709666,9322636.744214002,9254878.4617808,9192176.376769597,9134094.194958039,9080244.818759086,9077886.88386156,9076689.563232638,9076573.469648842,9077466.634317083,9079303.661516627,9033365.537754333,8991265.90598079,8952673.528064298,8917294.64658322,8884867.831037296,8829138.042571148,8777408.786494687,8729359.40020323,8684702.93966372,8643181.862273015,8638037.107485434,8634408.844871847,8632169.945895106,8631207.578680262,8631421.255150089
All_0.25,E. Europe+Russia,1507440.1985133437,1504155.1508137146,1489598.9615161738,1476091.2136491651,1463538.5089526738,1451858.2853904536,1440977.2901458482,1437610.1534846798,1434559.0423112968,1431801.8595650427,1429318.571444622,1427090.97228701,1425507.6418468596,1424217.0451313937,1423194.3348659049,1422417.4766760396,1421866.8623037413,1424684.1596017994,1427547.6652570032,1430454.366544236,1433401.5697851712,1436386.859506085,1436179.1529650346,1436188.0833692711,1436395.602736982,1436785.6931077703,1437344.0892513252
