Dem_scenarios,Ren_scenarios,Region,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
All_0.0,50.0,Asia,4110455.5378154577,4155169.160432098,4244842.8271733215,4321942.029255215,4388938.354006567,4447695.47764635,4499645.240539375,4556838.214684543,4605672.1928723715,4647854.931308457,4684658.650021638,4717050.556616073,4724398.324256519,4730894.044251999,4736677.799828199,4741860.561949518,4746531.378484481,4741502.437714627,4736933.60906956,4732764.509407551,4728944.878650424,4725432.543738989,4685146.693235409,4647941.944708612,4613477.848500504,4581462.330965359,4551643.396779229
All_0.0,50.0,Latin America,995978.1151765023,979726.13322033,945914.1006800276,916843.3508784495,891581.9559238933,869427.2047167624,849839.2126424691,830494.6155889714,813977.3135132816,799709.6855422654,787261.4238594641,776305.3861602636,766039.6676316137,756964.3625352124,748883.7576917851,741642.8132659529,735117.1186341628,730479.9693174368,726267.0860087447,722422.78985697,718900.7364134816,715662.0382104102,722774.3350329602,729342.6763096924,735427.1669903887,741079.3714440902,746343.778381335
All_0.0,50.0,Mideast+Africa,245722.47244602663,253402.19977509676,263533.55920626095,272244.2516150114,279813.51772500214,286451.9162690682,292321.21702769346,317133.7497211721,338319.8254314962,356620.3351040512,372587.2171811137,386640.08387306915,415358.1115709621,440745.9947861432,463351.23503909097,483607.55143814464,501862.978825981,530283.5288620515,556103.8017695769,579665.0467657015,601251.3035979591,621100.9090441582,659759.036701179,695460.5522461606,728532.1496964461,759254.1016574503,787868.2217505914
All_0.0,50.0,OECD+EU,3484255.9983094623,3452418.4224350485,3386827.5531502515,3330434.14503515,3281430.381287998,3238453.0953548905,3200454.9825184257,3131979.0477691037,3073511.1615659497,3023006.6636294452,2978942.3519057813,2940160.209247198,2910346.9649260216,2883990.86648312,2860523.532385888,2839494.702822627,2820543.069979783,2798584.482640065,2778634.9490435766,2760430.8095943667,2743752.606484746,2728416.193421095,2717714.833845296,2707831.924909884,2698677.0310360366,2690172.567040209,2682251.5939714015
All_0.0,50.0,E. Europe+Russia,277853.67023821763,273549.8781230897,273147.75377580256,272802.0172018427,272501.5850422098,272238.0999985981,272005.1412577075,277820.1662218814,282785.30060257245,287074.17840145103,290816.1510176743,294109.5580890695,298122.72560055513,301670.5259291979,304829.4690407095,307660.1645094314,310211.24806126335,313415.3754514889,316326.3480942105,318982.6383610804,321416.26883905835,323654.1095710153,328870.89517082565,333688.69581132405,338151.59776229423,342297.4228785584,346158.8031031135
All_0.25,50.0,Asia,4110455.5378154577,4171571.340237852,4278397.035654853,4373251.594564095,4458498.517784439,4535920.012747949,4606885.359299852,4683700.6570546245,4752395.231390171,4814638.96907244,4871675.912357532,4924451.878393269,4951291.190762645,4977341.69000953,5002741.248675549,5027599.112256631,5052002.968622697,5066129.93212112,5080757.73073437,5095827.014946889,5111288.405306367,5127100.487212708,5102880.11715416,5081741.54694723,5063348.635631429,5047413.020028751,5033685.919706533
All_0.25,50.0,Latin America,995978.1151765023,983593.5194992092,953391.2677347555,927728.0026094253,905712.6139266073,886673.1720556528,870093.4445250173,853615.5978018789,839908.2134388232,828406.5386852605,818689.855946437,810438.3175884777,802829.3123899626,796397.0962477361,790949.2313797921,786333.2759102568,782426.9070377317,780492.3620703018,778982.2311952668,777841.695154885,777025.127779686,776494.246997531,787217.7809830838,797413.355040734,807140.3537349539,816449.7267651781,825385.4357652615
All_0.25,50.0,Mideast+Africa,245722.47244602663,254402.4835862745,265616.7128935731,275476.3019557271,284248.27450449654,292133.9795462902,299288.11338383803,325962.75793962495,349097.6903553049,369417.3307754833,387461.3513591161,403640.0425304653,435306.0046343053,463705.8860405414,489378.0903229043,512749.13391620386,534161.2762455216,566589.4499410447,596467.8678463745,624132.6394029439,649863.5310024224,673895.298238428,718583.9613850629,760368.9599943444,799572.9875191854,836472.8903944847,871307.5319600957
All_0.25,50.0,OECD+EU,3484255.9983094623,3466046.5529739247,3413599.408419408,3369972.6504373276,3333437.6815362936,3302691.085617932,3276731.478567633,3219173.390147005,3171424.0997123527,3131484.502331181,3097865.3482071864,3069434.446679167,3050118.6183890863,3034227.323436652,3021201.7099396153,3010599.080395403,3002064.2078249,2990189.8820716897,2980318.527414376,2972190.537784344,2965589.839684681,2960335.1365459724,2960029.6207902026,2960558.061752494,2961831.2066996144,2963772.494478158,2966315.878620472
All_0.25,50.0,E. Europe+Russia,277853.67023821763,274629.69319525163,275306.90478553704,276040.68926714663,276820.455200858,277638.21786413796,278487.8442470748,285554.68370222376,291794.00048720365,297375.57362982864,302425.884932041,307041.0945148185,312440.2990013488,317385.5240277109,321952.01426559675,326199.3788633074,330175.4525861876,334873.3941655585,339286.48175213026,343452.6147726934,347403.34056563594,351165.1319768805,358193.42743332416,364832.3773022834,371125.5342263757,377110.26396139245,382818.80658655736
