Ren_scenarios,Dem_scenarios,Region,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
50.0,All_0.0,Asia,9217292.050931081,9262421.974079998,9210541.410880279,9165699.20643733,9125919.81285936,9089778.051272398,9056231.145230481,8909367.84160577,8771783.986554781,8641705.881839186,8517801.517347146,8399049.346272845,8341835.825358812,8285231.1248588525,8229116.396668126,8173399.502917457,8118008.157101105,8017737.617911719,7918933.243095744,7821499.4490467645,7725346.924351215,7630392.566658488,7514931.08809399,7400254.755774479,7286368.829864571,7173267.852507615,7060938.801480172
50.0,All_0.0,E. Europe+Russia,968383.7893453389,965024.958014897,943015.5196095766,922071.8793249178,902104.571782442,883033.0695040845,864784.9288360835,846554.8354519424,829509.7388683723,813451.9977804017,798230.4932060783,783727.1024095865,762211.5366220521,741461.0205864606,721372.8803440776,701863.301886007,682862.9976529108,678716.6686342648,674902.7006243271,671379.4467990375,668112.043818114,665071.0718591276,657067.1915802036,649676.2995764458,642835.7562780941,636491.2709632416,630595.5425236833
50.0,All_0.0,Latin America,553802.0209931645,582776.1776651206,627002.2730244681,665791.1706174563,700137.1528688428,730798.0520947138,758362.660107714,790268.8556154596,818695.7832306112,844267.7717377392,867457.4793296306,888630.5377312694,914826.3600838928,938914.1490781913,961169.7313328558,981819.1980346476,1001050.1951628837,1027880.5582602374,1053056.7946586802,1076734.16256505,1099048.1179814944,1120117.5323772419,1125281.313279945,1130249.0877531308,1135024.9028273022,1139614.1387436963,1144023.0285500837
50.0,All_0.0,Mideast+Africa,1844464.766337048,1866691.9456389926,1866770.8005139723,1867449.7240663671,1868523.0018287401,1869845.0720538525,1871311.834596431,1881269.0654571732,1893044.3207475783,1906026.2672165018,1919780.4372513094,1933993.9800103519,1954752.7635416754,1975709.6710383738,1996590.6441875955,2017204.4763679116,2037418.9676657375,2095332.3922912313,2150966.265736292,2204374.448703655,2255626.4773302255,2304801.3745172103,2344488.6971813207,2382285.193059275,2418284.423248171,2452579.155282638,2485259.8502153703
50.0,All_0.0,OECD+EU,4447851.994881822,4306482.360437903,4268672.458258894,4227595.528291384,4184528.015848344,4140363.3567129546,4095732.0793175623,4140513.48445078,4176491.6876726374,4205625.032993006,4229358.4589255275,4248778.854128491,4236413.522439916,4224584.229978275,4213510.730501304,4203334.091321744,4194140.440438938,4167745.6662011025,4143486.0444604876,4121289.686738002,4101075.7756484384,4082758.938994405,4057083.6260907776,4032097.011882674,4007758.867647633,3984030.794188345,3960876.420735991
50.0,All_0.25,Asia,9217292.050931081,9281376.21985994,9248238.563975815,9222034.734047433,9200862.3305505,9183346.78959512,9168480.55033345,9038565.575993942,8917706.886057353,8804174.067477629,8696668.21939585,8594193.687921092,8554758.298738249,8515974.239981608,8477724.05582233,8439916.635107376,8402480.455861645,8319208.31211235,8237363.166980764,8156855.4930248745,8077601.4659608845,7999522.9632163085,7902050.308631169,7805341.799783254,7709407.347662963,7614245.760030964,7519847.926825756
50.0,All_0.25,E. Europe+Russia,968383.7893453389,967696.153293891,948276.5262367628,929848.7677188421,912330.0709193372,895645.8585245346,879729.0107276903,863728.7890156901,848872.1154616445,834967.1139770828,821867.2689587668,809458.2146226945,789972.2896712516,771233.0779046619,753140.487376525,735612.8745641871,718582.7964442467,716466.6762570495,714681.6184197973,713186.7107805824,711947.712322691,710935.7347264758,704508.2730594091,698686.7939251141,693409.6966991605,688623.5976653595,684281.9915141771
50.0,All_0.25,Latin America,553802.0209931645,582901.4388249607,627576.9646229167,667079.1573332998,702357.0869629673,734133.9230502269,762971.3650319435,796425.908333881,826523.1116870126,853870.7891718358,878928.7056704066,902052.1995064892,930445.142219364,956803.2344906963,981395.0914894385,1004440.7196928146,1026122.5780409061,1055832.2306000986,1083958.2770344566,1110650.7685294629,1136040.556822274,1160242.424375218,1167437.80453695,1174455.469616386,1181298.5482675736,1187971.585050046,1194480.0524237913
50.0,All_0.25,Mideast+Africa,1844464.766337048,1871115.8857135437,1875616.3748328837,1880725.3004048055,1886243.9873399958,1892031.511414659,1897986.7938708488,1912389.728894515,1928689.6571400457,1946281.5642077313,1964734.0495003923,1983735.2288267221,2009293.939768566,2035167.948003469,2061078.8035099618,2086830.546106151,2112286.117651459,2176847.1153169526,2239329.7073659687,2299775.572769313,2358243.03023785,2414800.7894330006,2461023.6954878788,2505466.4394160574,2548215.6949677262,2589358.0018191277,2628978.182643487
50.0,All_0.25,OECD+EU,4447851.994881822,4316285.513651422,4288339.568121268,4257122.99408114,4223870.828381964,4189450.192899764,4154475.374162101,4210605.373002801,4258087.188126128,4298840.537241101,4334282.701350934,4365480.475396095,4363289.968840616,4361513.420936244,4360378.445433521,4360033.982413391,4360573.828354705,4343067.795396164,4327559.323731415,4313987.356824387,4302281.024138937,4292364.0796413375,4276470.9482710175,4261260.352356628,4246694.416094256,4232736.868762357,4219353.2687513605
50.0,All_0.5,Asia,9217292.050931081,9300330.465639884,9286029.842297558,9278651.938710226,9276367.617662314,9277853.551588217,9282138.333932003,9169710.974242311,9066199.424453957,8969916.051256415,8879594.760220174,8794265.637709092,8773602.358043121,8753726.704631947,8734523.332609924,8715902.880384538,8697795.31682701,8632950.870331462,8569582.740730673,8507607.76401889,8446947.94554897,8387530.516366184,8309982.625523303,8233273.772962008,8157418.98928131,8082421.842438994,8008277.652156455
50.0,All_0.5,E. Europe+Russia,968383.7893453389,970367.3485728855,953550.6689603957,937664.540473929,922632.3568843601,908385.0903597837,894860.594045724,881161.6409947332,868575.4550987196,856915.7682668816,846040.5419892174,835839.0655723468,818505.0968955071,801909.5295134035,785954.8364555499,770561.5390895216,755664.0428775024,755753.3604761182,756183.1674985067,756913.3501207412,757910.3556106142,759145.8950956895,754499.9791204692,750461.2405861082,746969.1555140872,743971.2875741124,741421.9699677778
50.0,All_0.5,Latin America,553802.0209931645,583026.6999848012,628153.0911566931,668373.5839693379,704593.691314011,737503.2360075631,767637.8947696025,802675.7790039608,834488.2759985564,863667.3112018859,890660.3009281945,915812.7729265654,946498.2982327908,975235.7417613923,1002286.8768779058,1027865.9635921243,1052150.5860260562,1084921.7220668013,1116197.9521814056,1146124.4890126504,1174827.9263045366,1202419.28466556,1211860.7994134363,1221154.8753308451,1230303.8538961294,1239311.5714319358,1248182.864049253
50.0,All_0.5,Mideast+Africa,1844464.766337048,1875539.825788096,1884484.035479683,1894067.2544869944,1904098.0458925278,1914440.3691350052,1924996.4403445285,1943979.5382636283,1964962.692427596,1987348.021340322,2010707.9993306056,2034732.4985990631,2065351.960396033,2096432.4060341823,2127691.8464535642,2158930.3672417393,2190006.802882458,2261680.0301792915,2331519.7394933724,2399556.571270108,2465838.6978215897,2530425.5232056594,2583824.087037155,2635594.5059432485,2685817.165972265,2734572.951219632,2781941.594691548
50.0,All_0.5,OECD+EU,4447851.994881822,4326088.666864942,4308055.78437531,4286798.096893029,4263509.079773252,4239029.12308155,4213955.713386897,4281753.901122627,4341119.549910208,4393934.370734146,4441588.468694179,4485128.940287361,4493694.975507181,4502602.14904635,4512085.448775063,4522301.279162275,4533350.766659383,4525526.70229566,4519603.9206463,4515531.794778416,4513249.064082507,4512688.329576993,4507653.420971699,4503347.385056518,4499734.985207556,4496782.376890162,4494457.355612611
50.0,All_0.75,Asia,9217292.050931081,9319284.711419823,9323915.245845512,9335551.522862248,9352438.48452172,9373305.37238543,9397218.597284025,9302828.44275991,9217300.290507508,9138989.410738291,9066662.843982268,8999376.899031255,8998517.340556758,8998683.208677797,8999762.750168117,9001669.849008845,9004337.475672133,8959432.433502829,8916152.577400517,8874422.144051695,8834170.049275005,8795329.998538192,8739791.04136783,8685277.328286432,8631810.298813915,8579399.606568005,8528046.360128237
50.0,All_0.75,E. Europe+Russia,968383.7893453389,973038.5438518805,958837.9477804773,945519.2945586612,933011.8131313405,921251.7133250397,910181.5561306702,898856.6356761125,888624.8913563031,879305.5854530653,870761.1092928274,862884.3841128454,847829.4288343885,833515.4956330834,819847.6843877916,806748.7552634391,794155.0463344917,796635.2164425742,799477.3807906512,802642.3772059351,806097.4980645177,809815.2139643368,807172.5796909959,805148.0493138783,803682.2840240713,802723.906971242,802228.2052030619
50.0,All_0.75,Latin America,553802.0209931645,583151.9611446422,628730.6526257962,669674.4665852241,706847.0491689838,740906.2417801756,772362.8282862259,809019.6307385666,842593.3514368831,873660.7410685726,902657.5050214734,929919.940741438,962996.7826582636,994226.7648343593,1023865.3059821721,1052121.3786823503,1079168.1283607841,1115192.3448978825,1149830.2238258754,1183222.668732545,1215492.526182872,1246747.5500470304,1258666.0567178756,1270481.1672124178,1282194.6731328764,1293809.937754394,1305331.3944629563
50.0,All_0.75,Mideast+Africa,1844464.766337048,1879963.7658626484,1893373.7824543703,1907475.7518434674,1922085.8420191535,1937073.313342202,1952344.1250417319,1976044.3724883571,2001872.877313124,2029239.9048035506,2057722.8210123417,2087014.2619250822,2122965.0789299514,2159553.213145637,2196494.239252955,2233585.346164982,2270682.2777290377,2349957.4472114327,2427691.9307232406,2503906.87241113,2578641.7785496037,2651948.17444269,2713209.868872226,2773042.400478609,2831520.8396260473,2888721.3658502474,2944719.556236262
50.0,All_0.75,OECD+EU,4447851.994881822,4335891.820078458,4327821.107021022,4316621.204899186,4303444.24536849,4289103.837940322,4274180.476579838,4353972.309687204,4425610.406565493,4490939.568380015,4551323.689089562,4607791.050468788,4627717.529682349,4647965.948529799,4668778.55830859,4690319.194157353,4712696.34884049,4715394.055571604,4719943.906141015,4726305.620554811,4734427.531349919,4744251.128559385,4751233.466601605,4759052.044527195,4767675.002375217,4777071.676554345,4787212.870623115
50.0,All_1.0,Asia,9217292.050931081,9338238.957199767,9361894.774619669,9392734.188940037,9429077.748455182,9469709.322208302,9513735.547274014,9437942.632016804,9371048.65718665,9311452.589291453,9257955.609999817,9209641.420478065,9229655.964600535,9251043.345691284,9273697.725808391,9297538.593105368,9322504.312898798,9299136.69742105,9277654.603152068,9257991.55177312,9240085.314142264,9223878.07187287,9192590.004964506,9162641.687980555,9134063.247197045,9106872.756037746,9081079.500282006
50.0,All_1.0,E. Europe+Russia,968383.7893453389,975709.7391308745,964138.3626970057,953413.1269415183,943468.8240691586,934246.6804652424,925693.7883853829,916817.0497893321,909025.622059914,902144.3049946111,896039.9575171169,890609.1951429059,877965.1968459529,866076.729193606,854851.6689319111,844215.1785287617,834105.7039462506,839172.8122988098,844636.9537033384,850460.1749519662,856610.8765730215,863062.5571504664,862662.6493803328,862903.1999637667,863726.2507532156,865081.6851855521,866925.949983272
50.0,All_1.0,Latin America,553802.0209931645,583277.2223044826,629309.6490302259,670981.8212406095,709117.2439822361,744343.1924324515,777146.7488841347,815458.6382815475,850840.4392465089,883854.5331877959,914925.6499092951,944381.5401214199,979951.7980436004,1013791.7778287625,1046151.1581584829,1077234.2153227534,1107210.228757882,1146688.9462596609,1184911.5639878719,1222015.3867863768,1258120.211099366,1293331.2107773407,1307974.9376449354,1322575.0356405815,1337133.10988744,1351652.4148226427,1366137.3466973486
50.0,All_1.0,Mideast+Africa,1844464.766337048,1884387.7059372002,1902285.6157569443,1920950.958004756,1940208.0419078122,1959932.0204833676,1980033.2240878341,2008590.169281044,2039429.7807789426,2071971.6953102716,2105799.4095059657,2140609.5636909558,2182172.4149463223,2224581.800947767,2267552.236472991,2310879.3558992245,2354417.124415051,2441810.153018789,2528007.7639897196,2613023.5956994435,2696890.4321025773,2779653.8247215315,2849516.5249528238,2918202.1572842523,2985781.88575475,3052328.5845624926,3117915.0677016987
50.0,All_1.0,OECD+EU,4447851.994881822,4345694.973291978,4347635.536058395,4346592.686271731,4343677.8041885365,4339678.046565376,4335157.098606203,4427273.971980578,4511581.662385218,4589889.661839167,4663537.132541916,4733534.95029515,4765448.633305039,4797723.263598179,4830608.664626211,4864276.491372714,4898843.066369051,4912951.151476746,4928915.671518188,4946706.989522405,4966283.397169258,4987595.702788225,5007842.663044024,5029103.661602229,5051351.496670346,5074559.99560548,5098704.307642028
50.0,All_1.25,Asia,9217292.050931081,9357193.202979708,9399968.42862003,9450200.639380127,9506288.233788734,9567072.506453523,9631703.496939257,9575078.438370004,9527484.18650174,9487364.906912006,9453557.654299786,9425175.435224108,9467174.397406122,9511011.7238302,9556590.74444285,9603839.868256114,9652706.236491835,9652564.456148034,9654692.811602755,9659036.969016846,9665546.500682363,9674175.09531125,9669547.764152246,9666721.667805213,9665739.074652476,9666630.021895606,9669415.603770437
50.0,All_1.25,E. Europe+Russia,968383.7893453389,978380.934409869,969451.9137099814,961346.1345909828,954003.7750617501,947370.9495668388,941399.1963451419,935046.1927490763,929782.9099255744,925439.7824393848,921888.2658099985,919028.8247992392,908932.7619559013,899619.6301410692,891000.3309593679,883002.6930955653,875567.5486413081,883428.8572235886,891737.3383554005,900456.624780054,909556.6113519431,919012.2198245807,921113.3558174013,923890.6083932942,927287.7008097965,931256.085670776,935753.686161784
50.0,All_1.25,Latin America,553802.0209931645,583402.483464323,629890.080369983,672295.663995144,711404.3594154569,747814.3412828255,781990.2442240394,821993.9880947487,859231.6669042251,894252.1937903573,927470.160973587,959205.5653662354,997374.7999290702,1033946.6436352811,1069165.7877444357,1103232.5474855383,1136313.0591264472,1179457.9586306396,1221500.5861855482,1262575.5604726358,1302800.5347377486,1342279.0070058885,1359914.661994601,1377584.329093245,1395289.9388610153,1413035.1541084587,1430824.8570995978
50.0,All_1.25,Mideast+Africa,1844464.766337048,1888811.646011752,1911219.5353874054,1934493.0385013935,1958465.3134015715,1983018.1753461303,2008067.1388343798,2041622.9255823593,2077643.091268104,2115558.090778428,2154959.0258788043,2195548.031111135,2243013.9714770843,2291570.893217443,2340933.925995149,2390898.8044401943,2441319.3537249896,2537373.557410789,2632634.845886145,2727111.843976044,2820833.0792554785,2913840.5770953237,2993095.734432829,3071485.7566900086,3149079.820806506,3225949.4210222056,3302166.543714381
50.0,All_1.25,OECD+EU,4447851.994881822,4355498.126505495,4367499.071487436,4376712.909182787,4384211.238928843,4390755.476499153,4396893.069884039,4501672.394684495,4599055.495119375,4690818.685733992,4778278.423570174,4862430.150364634,4906981.343454121,4951995.514253544,4997730.8335829945,5044367.639971562,5092031.032576453,5118489.229865932,5146868.364510112,5177150.1823301455,5209303.752193444,5243290.091033795,5278143.077051077,5314268.674285671,5351646.269094398,5390256.156185631,5430079.8528304435
50.0,All_1.5,Asia,9217292.050931081,9376147.44875965,9438136.207846593,9507951.576619066,9584072.771848002,9665402.06578019,9751136.865997327,9714261.005898425,9686647.034376938,9666786.57115421,9653555.051441135,9646097.50100677,9711232.32417668,9778798.078942345,9848711.5359268,9920914.401663635,9995367.075163333,10020234.161842888,10047894.042904088,10078308.503644511,10111443.017692884,10147267.004870549,10171888.820015658,10198940.83948187,10228482.318617776,10260560.239030853,10295212.619799921
50.0,All_1.5,E. Europe+Russia,968383.7893453389,981052.1296888638,974778.6008194038,969318.4144755373,964617.0524281024,960625.4831695429,957299.6997478735,953547.406899122,950902.0832062766,949199.9908715978,948317.4087035941,948158.9057280107,940752.9438617514,934171.2600312596,928328.1371156286,923154.4458992528,918593.7985234429,929468.2715336605,940856.8409014657,952725.239116614,965045.3832431452,977794.1601349565,982674.7604113063,988282.5090761193,994563.2374223316,1001470.4061383274,1008963.8659640918
50.0,All_1.5,Latin America,553802.0209931645,583527.7446241636,630471.946645067,673616.0109084813,713708.4793376772,751319.9429068954,786893.9063467049,828626.8784454643,867769.1883804436,904857.2815680142,940296.5584187048,974400.170654676,1015277.5019133321,1054707.6226848876,1092931.138486603,1130145.2955171363,1166513.974231041,1213547.4517076558,1259658.1210395251,1304979.0527830047,1349626.8994439451,1393704.6331618468,1414618.5754302463,1435664.3992560771,1456845.0461374829,1478165.2844275513,1499631.1920229145
