Fuel type,Region,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Coal,Asia,0.8534385381431613,0.8433629287071037,0.8297725008037196,0.8152545178110557,0.7997106654120393,0.7830282262474936,0.7650773420870794,0.7332896219488194,0.6928137973157431,0.6395241536507278,0.5661914928290797,0.4588890809182137,0.42420689635159614,0.3818669951925732,0.3290184389606889,0.2611945919542464,0.17097961982577792,0.1617630925932348,0.1514346653192219,0.13978020879410608,0.1265268396493133,0.11132128452952408,0.1040329425263931,0.09606927491136229,0.08733186007645281,0.07770217465415562,0.06703618536278741
Coal,Latin America,0.1239911786402489,0.10928475980676489,0.10305107851925344,0.09608968187553572,0.08826524136962158,0.0794066561594146,0.06929439674121823,0.06152030729327039,0.05196440486681488,0.03993481678257728,0.02432821146892628,0.0032705112520793234,0.003055036961485744,0.002810294028538196,0.0025298844232947704,0.0022053987734948596,0.001825558568854265,0.0018250536628243827,0.0018244998190629065,0.0018238895603123948,0.0018232138042914633,0.0018224614086175316,0.0018041139526510826,0.001783838092015886,0.0017613129364477981,0.0017361422190640982,0.0017078307832538626
Coal,Mideast+Africa,0.11651603338047374,0.1163361471051497,0.1101778765178652,0.10388378326447589,0.0974493238207351,0.09086974972460864,0.08414009588972422,0.07404912270186317,0.06343086394195484,0.05224288233612315,0.04043806112635766,0.027963940787563438,0.024370829237871997,0.020473816252363043,0.016232643868444866,0.011599614980259682,0.006517791793103128,0.007469978286331288,0.008501556216655973,0.009622886785185969,0.010846216150192222,0.012186124501579557,0.011619023157941081,0.011027532725955953,0.010410045293364983,0.00976480843112771,0.009089908584021486
Coal,OECD+EU,0.3292720271160049,0.29901155310264316,0.2809979151865444,0.261119271523091,0.23907017580303375,0.2144746297203588,0.1868644644849416,0.1753400873420842,0.16224152023543748,0.14722257583310303,0.12982752823598626,0.10944406703811287,0.10576279689312201,0.1015937045408741,0.0968329440477484,0.09134494304929384,0.08494928470968008,0.07826274619213193,0.07072460910084473,0.06216111916238361,0.052347803880722577,0.040989510232342104,0.03775731460938721,0.0342681785497447,0.03049019601499354,0.026385950211546078,0.021911270138951725
Coal,E. Europe+Russia,0.2954690903868298,0.28582829825872846,0.2680471996396656,0.24970766762818208,0.2307829752824141,0.21124466245409623,0.19106239297815153,0.16609761287511046,0.13809572959380043,0.10646662717740664,0.07045672109429588,0.02908814341621888,0.030589875285429197,0.03235003693100943,0.034441617558453506,0.0369679490939213,0.04008030234386451,0.03749140614083512,0.0345006493925719,0.031006591017509036,0.02687051100979624,0.021897553271710325,0.01927983593261403,0.01640248152869986,0.013224846482395827,0.009697337071981253,0.005758802254529414
Oil,Asia,0.009535797271112713,0.00865287813107008,0.007991653566205095,0.0072853000168329645,0.006529034127934362,0.005717371783239787,0.004843994899723414,0.004618801643902334,0.004332059383321189,0.0039545403820756084,0.003435030943316789,0.0026748701205033688,0.0026642166981760487,0.0026512110339141077,0.0026349773970782866,0.0026141437588558933,0.0025864321769488783,0.002425187611734118,0.002244490183827645,0.0020405936696860473,0.0018087239326947543,0.0015427004010241403,0.0013210266174736164,0.0010788129109263263,0.0008130658035495294,0.0005201804256343708,0.00019577602741715477
Oil,Latin America,0.164187962417234,0.15278241688275862,0.14039748382528944,0.1265667428164958,0.11102132632687886,0.09342129518122204,0.07333049326534141,0.07202780239087982,0.07042653616265612,0.06841075865896337,0.06579558649513087,0.062266983680189514,0.05976113721203984,0.056914912669698066,0.05365390451416023,0.04988031641102116,0.04546298554227702,0.0443378805197416,0.04310372532875962,0.04174385805720384,0.04023804024525018,0.0385614428160764,0.03645652892212297,0.03413037859147583,0.03154617765345839,0.028658464346577553,0.02541043177444812
Oil,Mideast+Africa,0.20307955202837263,0.1474172920518831,0.1357516624031907,0.12382874348826356,0.11163992849608073,0.099176222401382,0.08642821982680184,0.08432849077514966,0.08211904417559272,0.07979104968291338,0.0773347032451365,0.07473908908765566,0.07281565371940707,0.07072953629633523,0.06845918625202113,0.06597907075813449,0.06325871033564714,0.06121622873638695,0.059003449038422674,0.05659814601301869,0.05397405111603176,0.05109988920356288,0.04719499035507847,0.04312215516846201,0.03887031201639356,0.03442739417002671,0.02978022543136922
Oil,OECD+EU,0.019721688422481485,0.01891782884437423,0.01698217274728954,0.014846112391899053,0.012476826034278295,0.00983391076320418,0.0068670594848353386,0.00622586676264596,0.005497089337560004,0.0046614660560265414,0.0036936412631420187,0.002559547262998474,0.00245543687448206,0.002337530334766697,0.0022028907660712727,0.0020476840320843566,0.0018668077452784371,0.0018498154022462483,0.0018306589117926821,0.0018088967162702692,0.0017839583690056299,0.0017550938045636415,0.0016468249280376143,0.0015299493161343384,0.0014033982120899265,0.0012659182653410109,0.00111602987961568
Oil,E. Europe+Russia,0.011612963171818473,0.011920009707718502,0.01106864782411248,0.010190548059173857,0.009284430722594645,0.008348933137863456,0.007382602804479916,0.007228286143312198,0.007055196009269576,0.006859684674481765,0.006637093950558991,0.006381379269388591,0.005509565035129581,0.004487722182436727,0.003273477615552057,0.001806843099607175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
