Ren_scenarios,Dem_scenarios,Region,Fuel type,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
50.0,All_0.0,Asia,Coal,7866392.253585203,7811583.322981141,7642653.980262348,7472377.686945242,7298095.406038672,7117552.784471224,6928717.253919165,6533146.976374064,6077212.972958446,5526579.640181721,4822706.75672858,3854232.035097869,3538664.285350017,3163856.3141258336,2707531.030857556,2134847.7480435655,1388013.948443711,1296974.0326745152,1199201.0053534645,1093290.8260707424,977463.7315327019,849425.101984955,781800.3939774869,710937.1085466146,636332.1431151599,557378.5115165865,473338.4023313228
50.0,All_0.0,Asia,Oil,87894.2283863175,80146.60854025977,73607.45611294109,66774.86858294377,59583.44190695113,51969.64054625714,43868.33747821278,41150.602832939316,37999.889127421186,34173.97487975337,29258.911781118146,22466.366136978584,22224.458299364127,21965.896176754384,21683.535703146827,21366.441299187532,20996.677510259764,19444.517945094118,17773.967930514817,15960.502263177734,13973.019870443855,11771.409672555668,9927.423995852128,7983.490374673456,5924.297327612082,3731.3935247067607,1382.362548389434
50.0,All_0.0,Asia,Gas,1263005.5689595612,1370692.042558598,1494279.9745049886,1626546.6509091447,1768240.9649137363,1920255.6262549157,2083645.5538331035,2335070.2623987664,2656571.1244689142,3080952.266777711,3665835.8488374474,4522350.945037997,4780947.0817094315,5099408.914556264,5499901.8301074235,6017185.313574704,6708997.5311471345,6701319.06729211,6701958.269811765,6712248.120712845,6733910.17294807,6769196.055000977,6723203.270120651,6681334.156853192,6644112.389421799,6612157.947466322,6586218.036600459
50.0,All_0.25,Asia,Coal,7866392.253585203,7827568.631213547,7673934.041259612,7518305.480342648,7358027.736729106,7190819.747672281,7014596.730426199,6627886.334180211,6178310.371078146,5630481.969097316,4923979.5617789505,3943781.6426832234,3628987.466945813,3251969.494159134,2789327.534786143,2204460.5816347273,1436652.913936753,1345740.8644946385,1247422.3343046177,1140166.963918368,1022033.3854346909,890517.1718886642,822073.5455984932,749853.5271405247,673276.8837584791,591643.4539055899,504101.919522664
50.0,All_0.25,Asia,Oil,87894.2283863175,80310.61731905997,73908.7187009128,67185.28980318995,60072.7441625899,52504.60781053682,44412.07302402855,41747.341540919864,38632.035793452735,34816.46188066315,29873.32443738447,22988.35190563878,22791.729908358568,22577.644869567546,22338.611265758696,22063.15539692998,21732.445817224638,20175.640937970373,18488.680768911727,16644.827683610423,14610.151090253683,12340.867283355617,10438.818790317378,8420.503507799103,6268.255480018233,3960.7816003376106,1472.2059538950737
50.0,All_0.25,Asia,Gas,1263005.5689595612,1373496.9713273337,1500395.8040152895,1636543.9639015954,1782761.8496588022,1940022.434112301,2109471.746883221,2368931.9002728113,2700764.479185754,3138875.6364996494,3742815.3331795153,4627423.69333223,4902979.101884077,5241427.100952906,5666057.909770428,6213392.898075718,6944095.096107667,6953291.8066797415,6971452.151907234,7000043.701422896,7040957.92943594,7096664.924044288,7069537.944242358,7047067.76913493,7029862.208424466,7018641.524525037,7014273.801349197
50.0,All_0.5,Asia,Coal,7866392.253585203,7843553.939445954,7705292.204781214,7564462.912229823,7418410.120127423,7264821.20988413,7101553.725409289,6724053.893682085,6281188.050477751,5736477.970997836,5027551.013006334,4035592.4758389536,3721822.626128518,3342759.3134347876,2873819.231961031,2276546.69635488,1487145.7365935137,1396492.8309902751,1297731.8942679297,1189195.1895929184,1068765.628232571,933710.671112466,864511.944876391,790964.6415151961,712402.5737569145,628021.753629757,536844.3851266281
50.0,All_0.5,Asia,Oil,87894.2283863175,80474.62609786016,74210.73350508421,67597.76312527283,60565.720758982425,53044.93810488151,44962.630748093805,42353.07612193966,39275.31428776693,35471.89524852167,30501.682765469923,23523.518386077554,23374.77790545524,23207.9768271888,23015.271555680058,22784.623117551342,22496.257675956644,20936.525503437133,19234.3443410688,17360.570547428815,15278.19690734121,12939.446691200326,10977.70823905957,8882.16204546252,6632.518425410198,4204.317634156451,1567.82878519277
50.0,All_0.5,Asia,Gas,1263005.5689595612,1376301.9000960696,1506526.9040112589,1646591.2633551303,1797391.776775908,1959987.4035992045,2135621.9777746196,2403304.0044382866,2745736.0596884387,3197966.185010056,3821542.06444837,4735149.643484061,5028404.954009149,5387759.41436997,5837688.829093213,6416571.560912107,7188153.32255754,7215521.51383775,7252616.502121674,7301052.003878542,7362904.120409058,7440880.398562517,7434492.972407852,7433426.969401349,7438383.8970989855,7450195.771175081,7469865.438244634
50.0,All_0.75,Asia,Coal,7866392.253585203,7859539.247678357,7736728.470827158,7610850.555271329,7479244.803682029,7339562.679815065,7189599.027421335,6821667.551846139,6385872.815266009,5844604.468125369,5133467.370612269,4129715.7940330566,3817233.112803601,3436300.1175876535,2961087.8910768703,2351187.483118708,1539558.1983734262,1449305.498323549,1350214.5814937649,1240468.5802225845,1117759.6172593848,979107.4332983288,909226.1790993048,834388.2953325714,753832.0492225011,666638.0066573411,571687.6965800009
50.0,All_0.75,Asia,Oil,87894.2283863175,80638.63487666032,74513.50052545534,68012.29366665335,61062.39004484904,53590.67165176636,45520.07895682983,42967.91930436086,39929.892212382176,36140.50267612594,31144.267421699693,24072.16437036697,23974.000157538045,23857.408213544182,23714.171425760105,23531.659055067743,23289.108179185045,21728.304545899922,20012.216937485016,18109.08964927357,15978.574793618898,13568.55911588452,11545.496596804362,9369.789316731112,7018.229776692239,4462.835739031898,1669.5870380152328
50.0,All_0.75,Asia,Gas,1263005.5689595612,1379106.828864805,1512673.2744928978,1656688.6739242654,1812131.2907948412,1980152.0209185972,2162099.4909058595,2438192.9716094104,2791497.5830291165,3258244.439936796,3902051.2059482993,4845588.940627832,5157310.227595619,5538525.682876598,6014960.687665487,6626950.70683507,7441490.169119522,7488398.63063338,7545925.778969266,7615844.474179837,7700431.857222002,7802654.006123979,7819019.365671721,7841519.24363713,7870960.019814721,7908298.764171633,7954689.076510221
