Facility ID,Country,Longitude,Latitude,Sector,Facility Type,Start Year,Close Year,Capacity,Capacity Unit,Year,Activity rates,Activity type,Activity rates Unit,CO2 Eta (%),CO2 Emissions,Production,Production Unit
1,Asia,,,Power,Coal,2010,9999,8326396.958,MWh,2024,5292.537201,Fuel consumption,kt,0,8097179.614,5221154840,KWh
2,Asia,,,Power,Coal,2010,9999,8326396.958,MWh,2024,5292.537201,Fuel consumption,kt,0,8097179.614,5221154840,KWh
3,Asia,,,Power,Coal,2013,9999,8326396.958,MWh,2024,5292.537201,Fuel consumption,kt,0,8097179.614,5221154840,KWh
4,Asia,,,Power,Coal,2013,9999,8326396.958,MWh,2024,2722.915549,Fuel consumption,kt,0,4623713.186,2686190605,KWh
5,Asia,,,Power,Coal,2009,9999,9991676.348,MWh,2024,6294.193809,Fuel consumption,kt,0,9629638.083,6265385808,KWh
6,Asia,,,Power,Coal,1981,9999,1998335.27,MWh,2024,1166.610397,Fuel consumption,kt,0,1106723.86,1122780000,KWh
7,Asia,,,Power,Coal,2004,9999,4995838.175,MWh,2024,3224.377056,Fuel consumption,kt,0,4933051.802,3132692904,KWh
8,Asia,,,Power,Coal,2002,9999,4995838.175,MWh,2024,3224.377056,Fuel consumption,kt,0,4933051.802,3132692904,KWh
9,Asia,,,Power,Coal,2010,9999,8326396.958,MWh,2024,5292.537201,Fuel consumption,kt,0,8097179.614,5221154840,KWh
10,Asia,,,Power,Coal,1999,9999,8326396.958,MWh,2024,5292.537201,Fuel consumption,kt,0,8097179.614,5221154840,KWh
11,Asia,,,Power,Coal,1999,9999,8326396.958,MWh,2024,2722.915549,Fuel consumption,kt,0,4623713.186,2686190605,KWh
12,Asia,,,Power,Coal,2008,9999,8326396.958,MWh,2024,4742.209896,Fuel consumption,kt,0,4498774.273,4678250000,KWh
13,Asia,,,Power,Coal,2007,9999,8326396.958,MWh,2024,5292.537201,Fuel consumption,kt,0,8097179.614,5221154840,KWh
14,Asia,,,Power,Coal,2002,9999,4995838.175,MWh,2024,1658.884216,Fuel consumption,kt,0,2816908.82,1611714363,KWh
15,Asia,,,Power,Coal,2002,9999,4995838.175,MWh,2024,3224.377056,Fuel consumption,kt,0,4933051.802,3132692904,KWh
16,Asia,,,Power,Coal,1979,9999,8326396.958,MWh,2024,4742.209896,Fuel consumption,kt,0,4498774.273,4678250000,KWh
17,Asia,,,Power,Coal,1992,9999,8326396.958,MWh,2024,5292.537201,Fuel consumption,kt,0,8097179.614,5221154840,KWh
18,Asia,,,Power,Coal,2002,9999,8326396.958,MWh,2024,5292.537201,Fuel consumption,kt,0,8097179.614,5221154840,KWh
19,Asia,,,Power,Coal,2006,9999,2664447.026,MWh,2024,1733.125785,Fuel consumption,kt,0,2651550.711,1670769549,KWh
20,Asia,,,Power,Coal,2006,9999,2664447.026,MWh,2024,1733.125785,Fuel consumption,kt,0,2651550.711,1670769549,KWh
21,Asia,,,Power,Coal,2013,9999,13322235.13,MWh,2024,8226.744216,Fuel consumption,kt,0,12586293.31,8353847743,KWh
22,Asia,,,Power,Coal,2013,9999,13322235.13,MWh,2024,8226.744216,Fuel consumption,kt,0,12586293.31,8353847743,KWh
23,Asia,,,Power,Coal,2015,9999,233139114.8,MWh,2024,83750.21525,Fuel consumption,kt,0,148384608.2,1.44E+11,KWh
24,Asia,,,Power,Coal,2014,9999,49958381.75,MWh,2024,24491.96731,Fuel consumption,kt,0,37470848.28,31326929045,KWh
25,Asia,,,Power,Coal,2014,9999,49958381.75,MWh,2024,24491.96731,Fuel consumption,kt,0,37470848.28,31326929045,KWh
26,Asia,,,Power,Coal,2014,9999,49958381.75,MWh,2024,12600.67829,Fuel consumption,kt,0,21396889.23,16117143629,KWh
27,Asia,,,Power,Coal,2014,9999,49958381.75,MWh,2024,24491.96731,Fuel consumption,kt,0,37470848.28,31326929045,KWh
28,Asia,,,Power,Coal,2014,9999,49958381.75,MWh,2024,24491.96731,Fuel consumption,kt,0,37470848.28,31326929045,KWh
29,Asia,,,Power,Coal,2014,9999,49958381.75,MWh,2024,12600.67829,Fuel consumption,kt,0,21396889.23,16117143629,KWh
30,Asia,,,Power,Coal,2002,9999,7660285.201,MWh,2024,4885.569532,Fuel consumption,kt,0,7474550.017,4803462454,KWh
31,Asia,,,Power,Coal,2003,9999,8326396.958,MWh,2024,5292.537201,Fuel consumption,kt,0,8097179.614,5221154840,KWh
32,Asia,,,Power,Coal,2009,9999,8326396.958,MWh,2024,5292.537201,Fuel consumption,kt,0,8097179.614,5221154840,KWh
33,Asia,,,Power,Coal,1980,9999,8326396.958,MWh,2024,5292.537201,Fuel consumption,kt,0,8097179.614,5221154840,KWh
34,Asia,,,Power,Coal,2015,9999,3330558.783,MWh,2024,2162.231544,Fuel consumption,kt,0,3308049.904,2088461936,KWh
35,Asia,,,Power,Coal,2000,9999,8326396.958,MWh,2024,5292.537201,Fuel consumption,kt,0,8097179.614,5221154840,KWh
36,Asia,,,Power,Coal,2004,9999,4995838.175,MWh,2024,3224.377056,Fuel consumption,kt,0,4933051.802,3132692904,KWh
37,Asia,,,Power,Coal,2013,9999,9991676.348,MWh,2024,3238.249925,Fuel consumption,kt,0,5498789.298,3223428726,KWh
38,Asia,,,Power,Coal,2013,9999,9991676.348,MWh,2024,6294.193809,Fuel consumption,kt,0,9629638.083,6265385808,KWh
39,Asia,,,Power,Coal,1942,9999,1998335.27,MWh,2024,1301.99402,Fuel consumption,kt,0,1991951.882,1253077162,KWh
40,Asia,,,Power,Coal,2007,9999,2731058.202,MWh,2024,1707.82591,Fuel consumption,kt,0,1790047.455,1779011400,KWh
41,Asia,,,Power,Coal,2007,9999,41631984.79,MWh,2024,19127.48313,Fuel consumption,kt,0,18145596.86,23391250001,KWh
42,Asia,,,Power,Coal,2006,9999,41631984.79,MWh,2024,19127.48313,Fuel consumption,kt,0,18145596.86,23391250001,KWh
43,Asia,,,Power,Coal,1998,9999,21648632.09,MWh,2024,12250.68727,Fuel consumption,kt,0,21705179.2,13373225701,KWh
44,Asia,,,Power,Coal,1998,9999,21648632.09,MWh,2024,12250.68727,Fuel consumption,kt,0,21705179.2,13373225701,KWh
45,Asia,,,Power,Coal,1998,9999,21648632.09,MWh,2024,12250.68727,Fuel consumption,kt,0,21705179.2,13373225701,KWh
46,Asia,,,Power,Coal,2009,9999,69941734.44,MWh,2024,31527.215,Fuel consumption,kt,0,48234242.44,43857700646,KWh
47,Asia,,,Power,Coal,2014,9999,3996670.54,MWh,2024,2589.031279,Fuel consumption,kt,0,3961021.057,2506154323,KWh
48,Asia,,,Power,Coal,2008,9999,399667.054,MWh,2024,261.0675039,Fuel consumption,kt,0,399413.4365,250615432.3,KWh
49,Asia,,,Power,Coal,2011,9999,266444.7026,MWh,2024,89.55166006,Fuel consumption,kt,0,152065.3814,85958099.35,KWh
50,Asia,,,Power,Coal,2007,9999,9991676.348,MWh,2024,6294.193809,Fuel consumption,kt,0,9629638.083,6265385808,KWh
51,Asia,,,Power,Coal,2007,9999,9991676.348,MWh,2024,3238.249925,Fuel consumption,kt,0,5498789.298,3223428726,KWh
52,Asia,,,Power,Coal,2010,9999,9991676.348,MWh,2024,6294.193809,Fuel consumption,kt,0,9629638.083,6265385808,KWh
53,Asia,,,Power,Coal,1979,9999,39966705.4,MWh,2024,20693.66247,Fuel consumption,kt,0,31659730.58,25061543234,KWh
54,Asia,,,Power,Coal,1985,9999,40299761.26,MWh,2024,20825.13794,Fuel consumption,kt,0,31860878.06,25270389430,KWh
55,Asia,,,Power,Coal,1988,9999,40299761.26,MWh,2024,20825.13794,Fuel consumption,kt,0,31860878.06,25270389430,KWh
56,Asia,,,Power,Coal,1990,9999,4962532.586,MWh,2024,3080.106591,Fuel consumption,kt,0,3228395.197,3232593884,KWh
57,Asia,,,Power,Coal,2013,9999,89925087.12,MWh,2024,38258.74967,Fuel consumption,kt,0,58532978.81,56388472288,KWh
58,Asia,,,Power,Coal,2014,9999,89925087.12,MWh,2024,19683.44112,Fuel consumption,kt,0,33423947.47,29010858533,KWh
59,Asia,,,Power,Coal,2015,9999,89925087.12,MWh,2024,38258.74967,Fuel consumption,kt,0,58532978.81,56388472288,KWh
60,Asia,,,Power,Coal,2015,9999,89925087.12,MWh,2024,38258.74967,Fuel consumption,kt,0,58532978.81,56388472288,KWh
61,Asia,,,Power,Coal,2015,9999,89925087.12,MWh,2024,38258.74967,Fuel consumption,kt,0,58532978.81,56388472288,KWh
62,Asia,,,Power,Coal,2012,9999,8326396.958,MWh,2024,5128.701024,Fuel consumption,kt,0,6464807.778,5143548346,KWh
63,Asia,,,Power,Coal,2012,9999,8326396.958,MWh,2024,5128.701024,Fuel consumption,kt,0,6464807.778,5143548346,KWh
64,Asia,,,Power,Coal,2015,9999,19150713,MWh,2024,9961.116565,Fuel consumption,kt,0,22536916.48,13582323838,KWh
