Facility ID,Age,Age rank
273,92,0
39,82,1
142,59,2
143,59,3
295,58,4
195,56,5
239,55,6
282,52,7
283,51,8
281,50,9
212,50,10
224,47,11
223,47,12
53,45,13
16,45,14
236,45,15
33,44,16
6,43,17
123,42,18
144,42,19
124,42,20
250,42,21
131,42,22
243,42,23
108,41,24
177,41,25
244,41,26
245,40,27
296,40,28
66,39,29
54,39,30
178,39,31
209,39,32
208,39,33
68,39,34
67,39,35
70,39,36
69,39,37
211,38,38
210,38,39
93,37,40
284,37,41
257,37,42
229,37,43
94,37,44
109,37,45
200,36,46
182,36,47
202,36,48
201,36,49
55,36,50
285,36,51
95,35,52
260,35,53
286,35,54
288,35,55
165,34,56
164,34,57
56,34,58
166,34,59
71,34,60
256,34,61
230,34,62
17,32,63
121,31,64
152,30,65
97,30,66
272,30,67
72,30,68
279,30,69
96,30,70
153,28,71
225,28,72
263,27,73
298,27,74
43,26,75
44,26,76
45,26,77
10,25,78
125,25,79
204,25,80
206,25,81
299,25,82
11,25,83
203,25,84
205,25,85
35,24,86
126,24,87
150,24,88
151,24,89
270,23,90
154,23,91
127,23,92
269,23,93
73,22,94
30,22,95
15,22,96
8,22,97
18,22,98
14,22,99
31,21,100
268,21,101
218,20,102
74,20,103
36,20,104
226,20,105
7,20,106
258,19,107
232,19,108
175,18,109
247,18,110
122,18,111
246,18,112
20,18,113
231,18,114
275,18,115
145,18,116
119,18,117
19,18,118
118,18,119
259,18,120
42,18,121
174,18,122
170,17,123
51,17,124
50,17,125
169,17,126
41,17,127
86,17,128
276,17,129
88,17,130
87,17,131
287,17,132
89,17,133
115,17,134
13,17,135
40,17,136
110,16,137
12,16,138
111,16,139
240,16,140
197,16,141
105,16,142
48,16,143
196,16,144
90,16,145
140,15,146
139,15,147
214,15,148
138,15,149
46,15,150
32,15,151
233,15,152
265,15,153
278,15,154
75,15,155
300,15,156
242,15,157
187,15,158
253,15,159
129,15,160
207,15,161
277,15,162
271,15,163
241,15,164
254,15,165
128,15,166
264,15,167
158,15,168
5,15,169
2,14,170
76,14,171
9,14,172
112,14,173
1,14,174
235,14,175
234,14,176
188,14,177
289,14,178
52,14,179
92,13,180
221,13,181
91,13,182
130,13,183
98,13,184
49,13,185
189,13,186
99,13,187
199,13,188
163,13,189
159,13,190
190,13,191
77,13,192
198,13,193
185,13,194
62,12,195
63,12,196
215,12,197
116,12,198
217,12,199
251,12,200
78,12,201
160,12,202
186,12,203
252,12,204
157,12,205
274,12,206
261,12,207
291,11,208
4,11,209
22,11,210
79,11,211
192,11,212
3,11,213
193,11,214
161,11,215
81,11,216
82,11,217
262,11,218
38,11,219
194,11,220
290,11,221
37,11,222
107,11,223
191,11,224
213,11,225
106,11,226
21,11,227
80,11,228
57,11,229
222,10,230
117,10,231
83,10,232
297,10,233
24,10,234
58,10,235
147,10,236
137,10,237
25,10,238
183,10,239
27,10,240
167,10,241
47,10,242
28,10,243
104,10,244
29,10,245
120,10,246
146,10,247
26,10,248
255,9,249
23,9,250
100,9,251
156,9,252
65,9,253
61,9,254
141,9,255
181,9,256
102,9,257
59,9,258
171,9,259
168,9,260
64,9,261
155,9,262
292,9,263
34,9,264
60,9,265
227,9,266
84,9,267
237,8,268
149,8,269
248,8,270
249,8,271
101,8,272
184,8,273
172,8,274
216,8,275
103,8,276
148,8,277
133,7,278
266,7,279
134,7,280
293,7,281
132,7,282
162,7,283
85,7,284
238,7,285
176,7,286
173,7,287
280,7,288
267,6,289
113,6,290
114,6,291
294,5,292
180,5,293
228,5,294
179,5,295
135,5,296
136,5,297
220,4,298
219,4,299
