Model_Scenario,Category,Demand_GrowthRate,Demand_Growth,Renewables_GrowthRate,Renewables_Growth,TFC_GrowthRate,TFC_Growth,shares_2024_2050
AIM/CGE 2.1_CD-LINKS_NDC2030i_1000,C4,3.1701477457091842,31010.802888,7.297005868831485,43043.532096,3.1701477457091842,31010.802888,1.3880173387144457
AIM/CGE 2.1_CD-LINKS_NPi2020_1000,C3,2.5328527539716594,22386.640787999997,5.737598586623727,31148.941715999998,2.5328527539716594,22386.640787999997,1.3914075814669298
AIM/CGE 2.1_CD-LINKS_NPi2020_400,C1,3.934279153721665,42009.799404,7.374125181214075,54803.878404,3.934279153721665,42009.799404,1.3045498712565098
AIM/CGE 2.1_CO_Bridge,C3,1.339070589326452,9647.627303999994,3.5452237790809082,12260.719668000005,1.339070589326452,9647.627303999994,1.2708533696069084
AIM/CGE 2.2_EN_INDCi2030_1000f,C3,2.3177299349282476,22562.910444000005,6.0382804249137445,32029.689947999996,2.3177299349282476,22562.910444000005,1.4195726224015317
AIM/CGE 2.2_EN_INDCi2030_1200,C4,2.274569394948611,22014.477684,5.910930547734816,30770.14474800001,2.274569394948611,22014.477684,1.3977231342792011
AIM/CGE 2.2_EN_INDCi2030_1200f,C4,2.082181227227764,19639.037664,5.424449535517195,26292.953268,2.082181227227764,19639.037664,1.3388106748324633
AIM/CGE 2.2_EN_INDCi2030_1400,C4,2.028143691208606,18991.708104,5.16169611659878,24081.054108,2.028143691208606,18991.708104,1.2679772654534476
AIM/CGE 2.2_EN_INDCi2030_1400f,C4,1.9821776906398858,18447.775703999996,5.015280586334581,22907.126868,1.9821776906398858,18447.775703999996,1.2417283923846218
AIM/CGE 2.2_EN_INDCi2030_800f,C3,2.8316001957261028,29556.192084000006,6.8095796486951965,40520.119128000006,2.8316001957261028,29556.192084000006,1.370951948506764
AIM/CGE 2.2_EN_INDCi2030_900f,C3,2.4997368499535044,24940.295064,6.318708128696104,34940.172768000004,2.4997368499535044,24940.295064,1.4009526622816222
AIM/CGE 2.2_EN_NPi2020_1000,C3,2.266821295503285,22106.885076000006,4.761884070442934,28036.564968,2.266821295503285,22106.885076000006,1.2682277431494615
AIM/CGE 2.2_EN_NPi2020_1000f,C3,2.0805227249724556,19754.380224000008,4.508550239789222,24483.375180000003,2.0805227249724556,19754.380224000008,1.2393896899005032
AIM/CGE 2.2_EN_NPi2020_1200,C3,2.105784340856376,20067.044124,4.507828643628398,24644.826984,2.105784340856376,20067.044124,1.2281244228951993
AIM/CGE 2.2_EN_NPi2020_1200f,C4,2.0098173808862585,18882.793836,4.513816604917276,23769.018036,2.0098173808862585,18882.793836,1.2587659560570124
AIM/CGE 2.2_EN_NPi2020_1400,C4,1.9887096948143945,18652.308732,4.48493551977962,23469.294060000004,1.9887096948143945,18652.308732,1.258251425987602
AIM/CGE 2.2_EN_NPi2020_1400f,C4,1.9698596133888246,18426.079524000004,4.49704876758017,23222.029835999998,1.9698596133888246,18426.079524000004,1.2602805608080254
AIM/CGE 2.2_EN_NPi2020_300f,C1,2.9278672842627973,31252.155528,6.080042536204866,43991.51904000001,2.9278672842627973,31252.155528,1.4076315152273682
AIM/CGE 2.2_EN_NPi2020_400f,C2,2.74128650545582,28523.659487999994,5.854491584210475,40972.388640000005,2.74128650545582,28523.659487999994,1.4364352041587523
AIM/CGE 2.2_EN_NPi2020_500f,C2,2.616901560134477,26772.297167999994,5.5264279000026395,36858.50400000001,2.616901560134477,26772.297167999994,1.3767404331689441
AIM/CGE 2.2_EN_NPi2020_600,C1,3.1329334228962447,34397.10154799999,6.33224422911971,47562.9714,3.1329334228962447,34397.10154799999,1.3827610251877613
AIM/CGE 2.2_EN_NPi2020_600f,C2,2.4551558729605016,24571.404443999996,5.141577800725283,32372.834064000002,2.4551558729605016,24571.404443999996,1.3175003544376158
AIM/CGE 2.2_EN_NPi2020_700,C3,2.8605900900419368,30254.020128,5.9982622831764365,42878.23554,2.8605900900419368,30254.020128,1.4172739807334342
AIM/CGE 2.2_EN_NPi2020_700f,C3,2.3068642181200305,22621.687368000003,4.835604435034457,28862.447699999997,2.3068642181200305,22621.687368000003,1.2758751029699047
AIM/CGE 2.2_EN_NPi2020_800,C3,2.6716798022369037,27537.052787999997,5.683507895040418,38788.46394,2.6716798022369037,27537.052787999997,1.4085916978342397
AIM/CGE 2.2_EN_NPi2020_800f,C3,2.204997917816942,21317.605271999997,4.566852308239189,25886.092944,2.204997917816942,21317.605271999997,1.2143058572343755
AIM/CGE 2.2_EN_NPi2020_900,C3,2.4551558729605016,24571.404443999996,5.141577800725283,32372.834064000002,2.4551558729605016,24571.404443999996,1.3175003544376158
AIM/CGE 2.2_EN_NPi2020_900f,C3,2.1465512855775692,20575.351452,4.524210921228944,25047.159168000002,2.1465512855775692,20575.351452,1.217338096334939
AIM/Hub-Global 2.0_1.5C,C1,3.0034200759925245,27281.9046,5.623555082515397,32069.209776000003,3.0034200759925245,27281.9046,1.17547547527162
AIM/Hub-Global 2.0_WB2C,C3,1.804190496669933,14069.358792000003,4.52140622670103,20565.861804,1.804190496669933,14069.358792000003,1.461748336085791
COFFEE 1.1_CO_2Deg2020,C4,1.6055696748696668,11702.304225609292,5.824878406233225,25885.391377782158,1.6055696748696668,11702.304225609292,2.2119909787625103
COFFEE 1.1_CO_2Deg2030,C4,1.4331453814550033,10495.989839618214,5.476557410252969,24491.488928589315,1.4331453814550033,10495.989839618214,2.3334139326377414
COFFEE 1.1_CO_Bridge,C3,2.530870984895195,20265.691703806264,4.897870308155694,27664.345410524365,2.530870984895195,20265.691703806264,1.3650827129344172
COFFEE 1.1_EN_INDCi2030_1000,C4,1.8628524791443057,14439.213596684163,5.913460248632685,28196.64751226644,1.8628524791443057,14439.213596684163,1.9527827691905293
COFFEE 1.1_EN_INDCi2030_1000_NDCp,C4,2.218687798532981,18233.016558002677,5.938459425650633,30705.491441572623,2.218687798532981,18233.016558002677,1.6840598671038687
COFFEE 1.1_EN_INDCi2030_1200,C4,1.5983102017610662,11962.528957230523,5.357530850507497,23546.76908295836,1.5983102017610662,11962.528957230523,1.968377185722586
COFFEE 1.1_EN_INDCi2030_400f,C2,2.4224615289855533,20238.88495807815,6.4022890048167636,32821.16853440239,2.4224615289855533,20238.88495807815,1.6216885763413635
COFFEE 1.1_EN_INDCi2030_500,C3,4.49162623036814,50033.8649042012,8.857504591002874,66004.42376104121,4.49162623036814,50033.8649042012,1.319194986983686
COFFEE 1.1_EN_INDCi2030_500f,C2,2.1022721813401812,16823.628133128044,6.133445421316952,30212.056516399054,2.1022721813401812,16823.628133128044,1.7958110032702963
COFFEE 1.1_EN_INDCi2030_600,C3,4.310014454771638,46784.573300766744,8.581540812944732,61267.62523158153,4.310014454771638,46784.573300766744,1.309568964917276
COFFEE 1.1_EN_INDCi2030_600_NDCp,C3,4.235417347163772,45990.98919177656,8.250610478613263,60470.421152685805,4.235417347163772,45990.98919177656,1.314831931544935
COFFEE 1.1_EN_INDCi2030_600f,C4,1.5306719402967461,11354.731726513655,5.573456543145228,25280.509336872434,1.5306719402967461,11354.731726513655,2.226429469737418
COFFEE 1.1_EN_INDCi2030_700,C3,4.0427319046013155,42252.603926919124,8.169578001627965,54733.71534581093,4.0427319046013155,42252.603926919124,1.2953927156887033
COFFEE 1.1_EN_INDCi2030_700f,C4,1.1541646086162372,8150.5368642098765,5.17458522492622,22145.768635899847,1.1541646086162372,8150.5368642098765,2.717093242427373
COFFEE 1.1_EN_INDCi2030_800,C3,3.469677629438306,33464.54660341231,7.5296578805669645,45741.89437986441,3.469677629438306,33464.54660341231,1.3668762622709554
COFFEE 1.1_EN_INDCi2030_800f,C4,0.8787095156761682,5988.083522081106,4.77983568703777,19322.674906998123,0.8787095156761682,5988.083522081106,3.226854608113866
COFFEE 1.1_EN_INDCi2030_900,C3,2.677147109618372,23152.66169439437,6.692851757493545,35832.675745014356,2.677147109618372,23152.66169439437,1.547669819478683
COFFEE 1.1_EN_INDCi2030_900f,C4,0.7706346561948685,5179.133560021004,4.510061400721255,17540.690580813098,0.7706346561948685,5179.133560021004,3.3868002007544216
COFFEE 1.1_EN_NPi2020_1000,C4,1.8763993437716842,14145.14677986069,6.015957233142832,27800.710172171348,1.8763993437716842,14145.14677986069,1.9653885961616826
COFFEE 1.1_EN_NPi2020_1200,C4,1.108886422381361,7610.093274921292,5.213638206684124,21037.935250509316,1.108886422381361,7610.093274921292,2.7644779755642226
COFFEE 1.1_EN_NPi2020_400,C1,3.505572034089788,41808.77884339268,5.388992536497184,53698.32344537054,3.505572034089788,41808.77884339268,1.2843791407185967
COFFEE 1.1_EN_NPi2020_400_lowBECCS,C3,3.4430017548456204,42821.317688820556,5.249411699812945,55889.49716728563,3.4430017548456204,42821.317688820556,1.3051792934871973
COFFEE 1.1_EN_NPi2020_400f,C2,2.515076241262615,20600.877237783956,6.308388066886761,32517.90609352934,2.515076241262615,20600.877237783956,1.5784719125401332
COFFEE 1.1_EN_NPi2020_400f_lowBECCS,C3,3.4507590772167918,32048.71201546589,6.61221846729696,41922.18382085272,3.4507590772167918,32048.71201546589,1.308077023520388
COFFEE 1.1_EN_NPi2020_500,C3,4.012770243584507,43628.362102088984,6.342497316920936,53266.2236836739,4.012770243584507,43628.362102088984,1.2209081688428418
COFFEE 1.1_EN_NPi2020_500f,C2,2.1493364148157834,16779.453451376205,6.224282490170685,30244.267310811523,2.1493364148157834,16779.453451376205,1.8024584292005632
